127.0.0.1 - - [15/Nov/2017:15:54:19 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:54:30 +0530] "GET /MvnFShop/ HTTP/1.1" 500 57775
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:54:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/ HTTP/1.1" 200 6931
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/resources/css/Project.css;jsessionid=A97C220FB397A5E037A206BBEEDB6111 HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/resources/images/marguerite-daisy-beautiful-beauty.jpg;jsessionid=A97C220FB397A5E037A206BBEEDB6111 HTTP/1.1" 200 307038
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/resources/images/Beautiful-Pink-Rose-Wallpaper.jpg;jsessionid=A97C220FB397A5E037A206BBEEDB6111 HTTP/1.1" 200 99718
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/resources/images/img1.jpg;jsessionid=A97C220FB397A5E037A206BBEEDB6111class=%22img-responsive%22 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/resources/images/ARCHID1.JPG;jsessionid=A97C220FB397A5E037A206BBEEDB6111 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/resources/images/lily_li21.jpg;jsessionid=A97C220FB397A5E037A206BBEEDB6111 HTTP/1.1" 200 219492
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/resources/images/tulip1.jpg;jsessionid=A97C220FB397A5E037A206BBEEDB6111 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:03 +0530] "GET /MvnFShop/resources/images/204d4e74b8c10cd917672a929a5c0614--coral-color-coral-pink.jpg;jsessionid=A97C220FB397A5E037A206BBEEDB6111 HTTP/1.1" 200 44071
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:12 +0530] "GET /MvnFShop/Sign_up;jsessionid=A97C220FB397A5E037A206BBEEDB6111 HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:12 +0530] "GET /MvnFShop/resources/css/Project.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:34 +0530] "POST /MvnFShop/addUser HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:42 +0530] "GET /MvnFShop/home HTTP/1.1" 200 6403
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:42 +0530] "GET /MvnFShop/resources/images/marguerite-daisy-beautiful-beauty.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:42 +0530] "GET /MvnFShop/resources/images/Beautiful-Pink-Rose-Wallpaper.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:42 +0530] "GET /MvnFShop/resources/images/ARCHID1.JPG HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:42 +0530] "GET /MvnFShop/resources/images/lily_li21.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:42 +0530] "GET /MvnFShop/resources/images/img1.jpgclass=%22img-responsive%22 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:42 +0530] "GET /MvnFShop/resources/images/tulip1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Nov/2017:15:58:42 +0530] "GET /MvnFShop/resources/images/204d4e74b8c10cd917672a929a5c0614--coral-color-coral-pink.jpg HTTP/1.1" 304 -
